fecha,activaanual,pasivaanual,activamensual,pasivamensual
30/11/2023,16.69,3.95,1.39,0.33
7/12/2023,16.89,3.96,1.41,0.33
14/12/2023,17.02,3.97,1.42,0.33
21/12/2023,16.99,3.98,1.42,0.33
28/12/2023,16.63,4,1.39,0.33
4/1/2024,17.03,4.01,1.42,0.33
11/1/2024,17.06,4.03,1.42,0.34
18/01/2024,17.06,4.05,1.42,0.34
25/01/2024,17.12,4.06,1.43,0.34
1/2/2024,17.07,4.08,1.42,0.34
8/2/2024,17.52,4.09,1.46,0.34
15/02/2024,17.54,4.11,1.46,0.34
22/02/2024,17.57,4.12,1.46,0.34
29/02/2024,17.92,4.15,1.49,0.35
7/3/2024,17.9,4.15,1.49,0.35
14/03/2024,17.91,4.15,1.49,0.35
21/03/2024,17.89,4.17,1.49,0.35
28/03/2024,17.84,4.19,1.49,0.35
4/4/2024,17.82,4.21,1.49,0.35
11/4/2024,17.79,4.23,1.48,0.35
18/04/2024,17.85,4.25,1.49,0.35
25/04/2024,17.94,4.26,1.50,0.36
2/5/2024,17.91,4.29,1.49,0.36
16/05/2024,17.97,4.32,1.50,0.36
23/05/2024,18.07,4.31,1.51,0.36
30/05/2024,18.05,4.34,1.50,0.36
